DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
037 RUKUNGIRI,Kigezi,271,"145,743",59850,1,"40,987","100,837","3,203","104,040",8,3,2011,4,0,0,1,0
038 SOROTI,Teso,181,11633500,23711,0,"44,832",68543,"2,585","71,128",8,5,2011,7,0,1,0,0
039 TORORO,Bukedi,382,20511500,75820,1,"52,069",127889,"5,494","133,383",8,5,2011,4,0,0,1,0
040 ADJUMANI,Madi,115,"58,969",20918,1,"11,327","32,245","2,526","34,771",8,4,2011,4,0,0,1,0
041 BUGIRI,Busoga,266,"145,455",54011,1,"23,136","77,147","3,935","81,082",8,2,2011,3,1,0,1,0
042 BUSIA,Bukedi,218,"142,051",52936,1,"25,438","78,374","2,828","81,202",8,3,2011,3,0,0,1,0
043 KATAKWI,Teso,139,"59,688",28745,1,"11,368","40,113","1,849","41,962",8,2,2011,3,0,0,1,0
044 NAKASONGOLA,Buganda,156,"70,854",43737,1,"3,800","47,537","1,001","48,538",8,2,2011,1,1,0,0,1
045 SSEMBABULE,Buganda,200,"105,296",56053,1,"12,845",68898,"1,669","70,567",8,2,2011,2,1,0,0,1
046 KAMWENGE,Toro,322,"158,120",92018,1,"10,150","102,168","4,605","106,773",8,2,2011,1,1,0,0,1
047 KAYUNGA,Buganda,271,"153,245",59205,1,"19,509","78,714","3,592","82,306",8,2,2011,3,1,0,0,1
048 KYENJOJO,Toro,242,"149,104",87368,1,"8,913","96,281","3,372","99,653",8,2,2011,1,1,0,0,1
049 MAYUGE,Busoga,281,"178,258",66663,1,"19,967","86,630","3,466","90,096",8,3,2011,3,1,0,0,1
050 PADER,Acholi,138,"69,912",15188,0,"17,746","32,934","2,953","35,887",8,2,2011,6,0,1,0,0
051 SIRONKO,Bugisu,250,"108,888",34479,1,"30,939",65418,"1,976","67,394",8,2,2011,5,0,1,0,0
052 WAKISO,Buganda,1019,"749,470",170890,0,"175,993",346883,"9,306","356,189",8,2,2011,5,1,1,0,0
053 YUMBE,West Nile,177,10059200,31811,1,"22,156",53967,"2,562","56,529",8,9,2011,4,0,0,1,0
054 KABERAMAIDO,Teso,115,"75,516",21995,0,"28,494","50,489","1,904","52,393",8,2,2011,6,0,1,0,0
055 KANUNGU,Kigezi,187,"110,981",57122,1,"16,984","74,106","2,687","76,793",8,2,2011,3,0,0,0,1
056 NAKAPIRIPIRIT,Karamoja,84,"42,059",21102,1,"1,516","22,618","1,617","24,235",8,2,2011,1,0,0,0,1
057 AMOLATAR,Lango,103,"48,648",19350,1,"15,223","34,573","1,171","35,744",8,1,2011,5,0,1,0,0
058 AMURIA,Teso,160,"89,103",32954,1,"25,485","58,439","3,190","61,629",8,2,2011,5,0,1,0,0
059 BUKWO,Sebei,89,"33,065",19895,1,"2,087","21,982",889,"22,871",8,2,2011,1,0,0,0,1
060 BUTALEJA,Bukedi,151,"87,655",41178,1,"15,848","57,026","2,417","59,443",8,2,2011,3,0,0,1,0
061 IBANDA,Ankole,213,"107,582",65910,1,"7,692","73,602","2,704","76,306",8,2,2011,1,0,0,0,1
062 ISINGIRO,Ankole,358,"174,402",104422,1,"17,599","122,021","3,221","125,242",8,2,2011,2,0,0,0,1
063 KAABONG,Karamoja,143,"52,421",26804,1,"4,157","30,961","2,507","33,468",8,2,2011,2,0,0,0,1
